Distribution|Votes|Rank|Title|Year
0000001222|114996|8.2|El secreto de sus ojos |2009
0000001222|57889|8.2|Smultronstället |1957
0000001321|385412|8.2|Lock, Stock and Two Smoking Barrels |1998
0000001222|48229|8.2|The General |1926
0000001321|150176|8.2|The Elephant Man |1980
0000001222|366859|8.2|Mad Max: Fury Road |2015
0000001321|305251|8.2|Casino |1995
0000001222|191211|8.2|Hauru no ugoku shiro |2004
0000001222|301026|8.2|Warrior |2011
0000001222|666307|8.2|The Wolf of Wall Street |2013
0000001321|519154|8.2|Gran Torino |2008
0000001222|725668|8.2|V for Vendetta |2005
0000001222|491417|8.1|The Big Lebowski |1998
0000001222|39531|8.1|Judgment at Nuremberg |1961
0000001222|80764|8.1|Rebecca |1940
0000001321|549435|8.1|A Beautiful Mind |2001
0000001321|150333|8.1|The Martian |2015
0000001222|215650|8.1|The Deer Hunter |1978
0000001322|435247|8.1|How to Train Your Dragon |2010
0000001321|111412|8.1|Cool Hand Luke |1967
0000001213|198675|8.1|Gone with the Wind |1939
0000001321|412620|8.1|Fargo |1996
0000001321|433349|8.1|Trainspotting |1996
0000001321|96081|8.1|Dial M for Murder |1954
0000001222|58901|8.1|It Happened One Night |1934
0000001222|388016|8.1|Into the Wild |2007
0000001321|651999|8.1|The Sixth Sense |1999
0000001321|484193|8.1|Gone Girl |2014
0000001221|69374|8.1|Incendies |2010
0000001321|617635|8.1|Finding Nemo |2003
0000001321|274478|8.1|Rush |2013
0000001222|107366|8.1|Mary and Max |2009
0000001222|235980|8.1|The Thing |1982
0000001221|559497|8.1|No Country for Old Men |2007
0000001222|104601|8.1|The Maltese Falcon |1941
0000001221|671050|8.1|Kill Bill: Vol. 1 |2003
0000001321|244723|8.1|Hotel Rwanda |2004
0000001222|32218|8.1|Le salaire de la peur |1953
0000001222|250623|8.1|Life of Brian |1979
0000001321|270409|8.1|Platoon |1986
0000001321|139193|8.1|Butch Cassidy and the Sundance Kid |1969
0000001222|342452|8.1|There Will Be Blood |2007
0000001222|94682|8.1|Network |1976
0000001222|64005|8.1|Les quatre cents coups |1959
0000001222|67324|8.1|Touch of Evil |1958
0000001321|250361|8.1|Stand by Me |1986
0000001222|54909|8.1|Persona |1966
0000001321|381078|8.1|12 Years a Slave |2013
